loan_id,borrower_id,portfolio,region,pd,lgd,ead,as_of_date
L0001,B0052,Mortgage,Quebec,0.0649,0.2481,223945,2026-05-22
L0002,B0015,Mortgage,British Columbia,0.0672,0.3368,241915,2026-05-22
L0003,B0072,Mortgage,British Columbia,0.0866,0.2367,737952,2026-05-22
L0004,B0061,Credit Card,Quebec,0.0238,0.2377,218124,2026-05-22
L0005,B0021,Credit Card,Quebec,0.0504,0.3246,447477,2026-05-22
L0006,B0075,Auto Loan,British Columbia,0.0576,,535830,2026-05-22
L0007,B0075,Mortgage,British Columbia,0.0771,0.2701,293821,2026-05-22
L0008,B0024,Auto Loan,Alberta,0.0053,0.2069,187804,2026-05-22
L0009,B0003,Mortgage,Alberta,0.0995,0.5053,715703,2026-05-22
L0010,B0022,Personal Loan,Quebec,0.0475,0.5228,49081,2026-05-22
L0011,B0053,Credit Card,Alberta,0.0287,0.3385,728216,2026-05-22
L0012,B0002,Credit Card,Ontario,0.0885,0.3859,365249,2026-05-22
L0013,B0030,Mortgage,Alberta,0.075,0.4599,229930,2026-05-22
L0014,B0038,Mortgage,Alberta,0.0954,0.2192,815497,2026-05-22
L0015,B0002,Mortgage,Ontario,0.0337,0.5797,527313,2026-05-22
L0016,B0064,Credit Card,Quebec,0.0557,0.5547,224532,2026-05-22
L0017,B0060,Mortgage,Ontario,0.0577,0.3044,622380,2026-05-22
L0018,B0021,Mortgage,Alberta,0.0981,0.2061,529332,2026-05-22
L0019,B0033,Mortgage,Quebec,0.0085,0.5734,326837,2026-05-22
L0020,B0076,Personal Loan,Alberta,0.0313,0.4004,299106,2026-05-22
L0021,B0058,Auto Loan,Ontario,0.0199,0.4158,38295,2026-05-22
L0022,B0022,Auto Loan,Ontario,0.0276,0.4736,23807,2026-05-22
L0023,B0049,Credit Card,Alberta,0.049,0.4463,445564,2026-05-22
L0024,B0059,Mortgage,British Columbia,0.0379,0.5776,167504,2026-05-22
L0025,B0042,Auto Loan,British Columbia,0.0401,0.5777,248067,2026-05-22
L0026,B0060,Auto Loan,Ontario,0.0846,0.5469,495008,2026-05-22
L0027,B0015,Mortgage,Ontario,0.0931,0.4546,985358,2026-05-22
L0028,B0062,Personal Loan,British Columbia,0.008,0.5204,967766,2026-05-22
L0029,B0062,Auto Loan,British Columbia,0.0217,0.4709,702440,2026-05-22
L0030,B0047,Credit Card,Alberta,0.0674,0.4293,404540,2026-05-22
L0031,B0062,Personal Loan,Alberta,0.0365,0.2514,887699,2026-05-22
L0032,B0051,Auto Loan,British Columbia,0.0262,0.5245,527923,2026-05-22
L0033,B0055,Mortgage,Alberta,0.0302,0.5283,176981,2026-05-22
L0034,B0064,Mortgage,Alberta,0.0329,0.4504,754699,2026-05-22
L0035,B0003,Auto Loan,Quebec,0.085,0.5282,29870,2026-05-22
L0036,B0051,Mortgage,Alberta,0.0145,0.4606,962082,2026-05-22
L0037,B0007,Mortgage,Ontario,0.0712,0.2827,213196,2026-05-22
L0038,B0021,Personal Loan,Alberta,0.0557,0.3096,258683,2026-05-22
L0039,B0073,Mortgage,Alberta,0.0304,0.2858,244677,2026-05-22
L0040,B0039,Mortgage,British Columbia,0.0426,0.3509,36790,2026-05-22
L0041,B0018,Mortgage,Ontario,0.0264,0.2156,653162,2026-05-22
L0042,B0004,Personal Loan,Alberta,0.0615,0.4473,821721,2026-05-22
L0043,B0060,Mortgage,Alberta,0.0091,0.3346,458345,2026-05-22
L0044,B0014,Auto Loan,Quebec,0.0015,0.4623,759074,2026-05-22
L0045,B0009,Mortgage,Alberta,0.0632,0.3542,497462,2026-05-22
L0046,B0053,Mortgage,Alberta,0.0202,0.4726,549773,2026-05-22
L0047,B0002,Mortgage,Quebec,0.008,0.3362,840914,2026-05-22
L0048,B0060,Mortgage,British Columbia,0.0403,0.3043,96188,2026-05-22
L0049,B0071,Auto Loan,Alberta,0.006,0.3984,539036,2026-05-22
L0050,B0044,Auto Loan,Quebec,0.0888,0.4772,752129,2026-05-22
L0051,B0008,Credit Card,Ontario,0.0037,0.3393,674795,2026-05-22
L0052,B0047,Mortgage,British Columbia,0.0583,0.5747,800141,2026-05-22
L0053,B0035,Mortgage,Ontario,0.0444,0.2157,658249,2026-05-22
L0054,B0078,Mortgage,Ontario,0.0675,0.3672,40355,2026-05-22
L0055,B0036,Mortgage,Quebec,0.0335,0.587,721131,2026-05-22
L0056,B0050,Auto Loan,Alberta,0.0163,0.4192,461015,2026-05-22
L0057,B0004,Mortgage,Quebec,0.0982,0.3694,416332,2026-05-22
L0058,B0002,Mortgage,Quebec,0.0841,0.4274,166542,2026-05-22
L0059,B0006,Mortgage,Quebec,0.0862,0.4304,183416,2026-05-22
L0060,B0054,Mortgage,Quebec,0.0258,0.4927,315062,2026-05-22
L0061,B0004,Credit Card,British Columbia,0.0048,0.2511,848656,2026-05-22
L0062,B0054,Credit Card,Alberta,0.031,0.3,573586,2026-05-22
